operation,duration_ms,payload_size_bytes,timestamp,status,additional_info
create_account,0.25177001953125,41,2025-02-26T02:50:47.667046,success,test_user_0_1740556247
create_account,0.06818771362304688,41,2025-02-26T02:50:47.667228,success,test_user_1_1740556247
create_account,0.06031990051269531,41,2025-02-26T02:50:47.667354,success,test_user_2_1740556247
create_account,0.05698204040527344,41,2025-02-26T02:50:47.667471,success,test_user_3_1740556247
create_account,0.052928924560546875,41,2025-02-26T02:50:47.667577,success,test_user_4_1740556247
login,0.06079673767089844,41,2025-02-26T02:50:47.667647,success,test_user_0_1740556247
login,0.05888938903808594,41,2025-02-26T02:50:47.667712,success,test_user_1_1740556247
login,0.055789947509765625,41,2025-02-26T02:50:47.667772,success,test_user_2_1740556247
login,0.07796287536621094,41,2025-02-26T02:50:47.667853,success,test_user_3_1740556247
login,0.08106231689453125,41,2025-02-26T02:50:47.667937,success,test_user_4_1740556247
receive_instant_message,505.2599906921387,68,2025-02-26T02:50:48.173278,success,message_received=1
send_message,0.23484230041503906,88,2025-02-26T02:50:48.173303,success,"size=10, index=0"
send_message,0.18095970153808594,88,2025-02-26T02:50:48.186019,success,"size=10, index=1"
receive_instant_message,518.0528163909912,68,2025-02-26T02:50:48.186067,success,message_received=2
receive_instant_message,518.1131362915039,68,2025-02-26T02:50:48.186126,success,message_received=3
send_message,0.10704994201660156,88,2025-02-26T02:50:48.186137,success,"size=10, index=2"
send_message,0.07200241088867188,88,2025-02-26T02:50:48.186221,success,"size=10, index=3"
receive_instant_message,518.2442665100098,68,2025-02-26T02:50:48.186256,success,message_received=4
receive_instant_message,518.3041095733643,68,2025-02-26T02:50:48.186317,success,message_received=5
send_message,0.09393692016601562,88,2025-02-26T02:50:48.186327,success,"size=10, index=4"
send_message,0.07224082946777344,88,2025-02-26T02:50:48.186406,success,"size=10, index=5"
receive_instant_message,518.4190273284912,68,2025-02-26T02:50:48.186431,success,message_received=6
send_message,0.06413459777832031,88,2025-02-26T02:50:48.186480,success,"size=10, index=6"
receive_instant_message,518.4810161590576,68,2025-02-26T02:50:48.186493,success,message_received=7
