System Time: 2025-03-05 03:32:39 | | INITIAL | | Machine 2 initialized with clock speed 6 | | Queue Size: 0 | | Logical Clock: 0
System Time: 2025-03-05 03:32:39 | | RECEIVE  | | Receive machine 1 | | Queue Size: 0 | | Logical Clock: 1
System Time: 2025-03-05 03:32:39 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 1
System Time: 2025-03-05 03:32:39 | |   SEND   | | Sent to machine 1 | | Queue Size: 0 | | Logical Clock: 1
System Time: 2025-03-05 03:32:39 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 2
System Time: 2025-03-05 03:32:39 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 3
System Time: 2025-03-05 03:32:39 | |   SEND   | | Sent to machine 1 | | Queue Size: 0 | | Logical Clock: 4
System Time: 2025-03-05 03:32:39 | | RECEIVE  | | Receive machine 1 | | Queue Size: 0 | | Logical Clock: 6
System Time: 2025-03-05 03:32:40 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 6
System Time: 2025-03-05 03:32:40 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 7
System Time: 2025-03-05 03:32:40 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 8
System Time: 2025-03-05 03:32:40 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 9
System Time: 2025-03-05 03:32:40 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 10
System Time: 2025-03-05 03:32:40 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 11
System Time: 2025-03-05 03:32:41 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 12
System Time: 2025-03-05 03:32:41 | |   SEND   | | Sent to machine 1 | | Queue Size: 0 | | Logical Clock: 12
System Time: 2025-03-05 03:32:41 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 13
System Time: 2025-03-05 03:32:41 | |   SEND   | | Sent to machine 1 | | Queue Size: 0 | | Logical Clock: 13
System Time: 2025-03-05 03:32:41 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 14
System Time: 2025-03-05 03:32:41 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 15
System Time: 2025-03-05 03:32:41 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 16
System Time: 2025-03-05 03:32:41 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 17
System Time: 2025-03-05 03:32:41 | |   SEND   | | Sent to machine 1 | | Queue Size: 0 | | Logical Clock: 17
System Time: 2025-03-05 03:32:42 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 18
System Time: 2025-03-05 03:32:42 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 19
System Time: 2025-03-05 03:32:42 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 20
System Time: 2025-03-05 03:32:42 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 21
System Time: 2025-03-05 03:32:42 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 22
