System Time: 2025-03-05 03:32:39 | | INITIAL | | Machine 0 initialized with clock speed 1 | | Queue Size: 0 | | Logical Clock: 0
System Time: 2025-03-05 03:32:39 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 0
System Time: 2025-03-05 03:32:40 | | RECEIVE  | | Receive machine 2 | | Queue Size: 0 | | Logical Clock: 2
System Time: 2025-03-05 03:32:41 | | RECEIVE  | | Receive machine 2 | | Queue Size: 2 | | Logical Clock: 8
System Time: 2025-03-05 03:32:42 | | RECEIVE  | | Receive machine 2 | | Queue Size: 5 | | Logical Clock: 11
System Time: 2025-03-05 03:32:43 | | RECEIVE  | | Receive machine 2 | | Queue Size: 7 | | Logical Clock: 12
System Time: 2025-03-05 03:32:44 | | RECEIVE  | | Receive machine 2 | | Queue Size: 9 | | Logical Clock: 13
System Time: 2025-03-05 03:32:45 | | RECEIVE  | | Receive machine 2 | | Queue Size: 10 | | Logical Clock: 14
System Time: 2025-03-05 03:32:46 | | RECEIVE  | | Receive machine 2 | | Queue Size: 11 | | Logical Clock: 17
System Time: 2025-03-05 03:32:47 | | RECEIVE  | | Receive machine 2 | | Queue Size: 11 | | Logical Clock: 18
System Time: 2025-03-05 03:32:48 | | RECEIVE  | | Receive machine 2 | | Queue Size: 11 | | Logical Clock: 20
System Time: 2025-03-05 03:32:49 | | RECEIVE  | | Receive machine 2 | | Queue Size: 12 | | Logical Clock: 23
System Time: 2025-03-05 03:32:50 | | RECEIVE  | | Receive machine 2 | | Queue Size: 11 | | Logical Clock: 24
System Time: 2025-03-05 03:32:51 | | RECEIVE  | | Receive machine 2 | | Queue Size: 12 | | Logical Clock: 25
System Time: 2025-03-05 03:32:52 | | RECEIVE  | | Receive machine 2 | | Queue Size: 14 | | Logical Clock: 29
System Time: 2025-03-05 03:32:53 | | RECEIVE  | | Receive machine 2 | | Queue Size: 14 | | Logical Clock: 30
System Time: 2025-03-05 03:32:54 | | RECEIVE  | | Receive machine 2 | | Queue Size: 14 | | Logical Clock: 33
System Time: 2025-03-05 03:32:55 | | RECEIVE  | | Receive machine 2 | | Queue Size: 16 | | Logical Clock: 36
