System Time: 2025-03-05 03:32:39 | | INITIAL | | Machine 1 initialized with clock speed 3 | | Queue Size: 0 | | Logical Clock: 0
System Time: 2025-03-05 03:32:39 | |   SEND   | | Sent to machine 2 | | Queue Size: 0 | | Logical Clock: 0
System Time: 2025-03-05 03:32:39 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 1
System Time: 2025-03-05 03:32:39 | |   SEND   | | Sent to machine 2 | | Queue Size: 0 | | Logical Clock: 2
System Time: 2025-03-05 03:32:40 | | RECEIVE  | | Receive machine 2 | | Queue Size: 1 | | Logical Clock: 4
System Time: 2025-03-05 03:32:40 | | RECEIVE  | | Receive machine 2 | | Queue Size: 0 | | Logical Clock: 5
System Time: 2025-03-05 03:32:40 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 5
System Time: 2025-03-05 03:32:41 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 6
System Time: 2025-03-05 03:32:41 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 7
System Time: 2025-03-05 03:32:41 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 8
System Time: 2025-03-05 03:32:42 | | RECEIVE  | | Receive machine 2 | | Queue Size: 2 | | Logical Clock: 13
System Time: 2025-03-05 03:32:42 | | RECEIVE  | | Receive machine 2 | | Queue Size: 1 | | Logical Clock: 14
System Time: 2025-03-05 03:32:42 | | RECEIVE  | | Receive machine 2 | | Queue Size: 0 | | Logical Clock: 18
System Time: 2025-03-05 03:32:43 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 18
System Time: 2025-03-05 03:32:43 | |   SEND   | | Sent to machine 2 | | Queue Size: 0 | | Logical Clock: 19
System Time: 2025-03-05 03:32:43 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 20
System Time: 2025-03-05 03:32:44 | | RECEIVE  | | Receive machine 2 | | Queue Size: 0 | | Logical Clock: 30
System Time: 2025-03-05 03:32:44 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 30
System Time: 2025-03-05 03:32:44 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 31
System Time: 2025-03-05 03:32:45 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 32
System Time: 2025-03-05 03:32:45 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 33
System Time: 2025-03-05 03:32:45 | |   SEND   | | Sent to machine 2 | | Queue Size: 0 | | Logical Clock: 34
System Time: 2025-03-05 03:32:46 | | RECEIVE  | | Receive machine 2 | | Queue Size: 0 | | Logical Clock: 40
System Time: 2025-03-05 03:32:46 | |   SEND   | | Sent to machine 2 | | Queue Size: 0 | | Logical Clock: 40
