System Time: 2025-03-05 04:28:38 | | INITIAL | | Machine 0 initialized with clock speed 1 | | Queue Size: 0 | | Logical Clock: 0
System Time: 2025-03-05 04:28:38 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 0
System Time: 2025-03-05 04:28:39 | | RECEIVE  | | Receive machine 2 | | Queue Size: 0 | | Logical Clock: 3
System Time: 2025-03-05 04:28:40 | | RECEIVE  | | Receive machine 2 | | Queue Size: 1 | | Logical Clock: 8
System Time: 2025-03-05 04:28:41 | | RECEIVE  | | Receive machine 2 | | Queue Size: 0 | | Logical Clock: 11
System Time: 2025-03-05 04:28:42 | | RECEIVE  | | Receive machine 2 | | Queue Size: 1 | | Logical Clock: 22
System Time: 2025-03-05 04:28:43 | | RECEIVE  | | Receive machine 2 | | Queue Size: 2 | | Logical Clock: 23
System Time: 2025-03-05 04:28:44 | | RECEIVE  | | Receive machine 2 | | Queue Size: 5 | | Logical Clock: 27
System Time: 2025-03-05 04:28:45 | | RECEIVE  | | Receive machine 2 | | Queue Size: 4 | | Logical Clock: 29
System Time: 2025-03-05 04:28:46 | | RECEIVE  | | Receive machine 2 | | Queue Size: 5 | | Logical Clock: 31
System Time: 2025-03-05 04:28:47 | | RECEIVE  | | Receive machine 2 | | Queue Size: 7 | | Logical Clock: 32
System Time: 2025-03-05 04:28:48 | | RECEIVE  | | Receive machine 2 | | Queue Size: 8 | | Logical Clock: 33
System Time: 2025-03-05 04:28:49 | | RECEIVE  | | Receive machine 2 | | Queue Size: 8 | | Logical Clock: 37
System Time: 2025-03-05 04:28:50 | | RECEIVE  | | Receive machine 2 | | Queue Size: 7 | | Logical Clock: 45
System Time: 2025-03-05 04:28:51 | | RECEIVE  | | Receive machine 2 | | Queue Size: 8 | | Logical Clock: 46
System Time: 2025-03-05 04:28:52 | | RECEIVE  | | Receive machine 2 | | Queue Size: 8 | | Logical Clock: 50
System Time: 2025-03-05 04:28:53 | | RECEIVE  | | Receive machine 2 | | Queue Size: 8 | | Logical Clock: 51
System Time: 2025-03-05 04:28:54 | | RECEIVE  | | Receive machine 2 | | Queue Size: 9 | | Logical Clock: 53
System Time: 2025-03-05 04:28:55 | | RECEIVE  | | Receive machine 2 | | Queue Size: 11 | | Logical Clock: 57
System Time: 2025-03-05 04:28:56 | | RECEIVE  | | Receive machine 2 | | Queue Size: 11 | | Logical Clock: 58
System Time: 2025-03-05 04:28:57 | | RECEIVE  | | Receive machine 2 | | Queue Size: 10 | | Logical Clock: 61
System Time: 2025-03-05 04:28:58 | | RECEIVE  | | Receive machine 2 | | Queue Size: 10 | | Logical Clock: 73
System Time: 2025-03-05 04:28:59 | | RECEIVE  | | Receive machine 2 | | Queue Size: 10 | | Logical Clock: 78
System Time: 2025-03-05 04:29:00 | | RECEIVE  | | Receive machine 2 | | Queue Size: 10 | | Logical Clock: 83
