System Time: 2025-03-05 04:05:12 | | INITIAL | | Machine 1 initialized with clock speed 5 | | Queue Size: 0 | | Logical Clock: 0
System Time: 2025-03-05 04:05:12 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 0
System Time: 2025-03-05 04:05:12 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 1
System Time: 2025-03-05 04:05:12 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 2
System Time: 2025-03-05 04:05:12 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 3
System Time: 2025-03-05 04:05:12 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 4
System Time: 2025-03-05 04:05:13 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 5
System Time: 2025-03-05 04:05:13 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 6
System Time: 2025-03-05 04:05:13 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 7
System Time: 2025-03-05 04:05:13 | | RECEIVE  | | Receive machine 2 | | Queue Size: 0 | | Logical Clock: 9
System Time: 2025-03-05 04:05:13 | |   SEND   | | Sent to machine 2 | | Queue Size: 0 | | Logical Clock: 9
System Time: 2025-03-05 04:05:14 | | RECEIVE  | | Receive machine 2 | | Queue Size: 0 | | Logical Clock: 11
System Time: 2025-03-05 04:05:14 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 11
System Time: 2025-03-05 04:05:14 | |   SEND   | | Sent to machine 2 | | Queue Size: 0 | | Logical Clock: 11
System Time: 2025-03-05 04:05:14 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 12
System Time: 2025-03-05 04:05:14 | |   SEND   | | Sent to machine 2 | | Queue Size: 0 | | Logical Clock: 13
System Time: 2025-03-05 04:05:14 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 14
System Time: 2025-03-05 04:05:15 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 15
System Time: 2025-03-05 04:05:15 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 16
System Time: 2025-03-05 04:05:15 | | RECEIVE  | | Receive machine 0 | | Queue Size: 0 | | Logical Clock: 18
System Time: 2025-03-05 04:05:15 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 18
System Time: 2025-03-05 04:05:15 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 19
System Time: 2025-03-05 04:05:16 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 20
System Time: 2025-03-05 04:05:16 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 21
System Time: 2025-03-05 04:05:16 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 22
System Time: 2025-03-05 04:05:16 | |   SEND   | | Sent to machine 2 | | Queue Size: 0 | | Logical Clock: 23
System Time: 2025-03-05 04:05:16 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 24
System Time: 2025-03-05 04:05:17 | | RECEIVE  | | Receive machine 2 | | Queue Size: 1 | | Logical Clock: 26
System Time: 2025-03-05 04:05:17 | | RECEIVE  | | Receive machine 0 | | Queue Size: 0 | | Logical Clock: 27
System Time: 2025-03-05 04:05:17 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 27
