System Time: 2025-03-05 04:12:57 | | INITIAL | | Machine 2 initialized with clock speed 1 | | Queue Size: 0 | | Logical Clock: 0
System Time: 2025-03-05 04:13:32 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 35
System Time: 2025-03-05 04:13:32 | |   SEND   | | Sent to machine 1 | | Queue Size: 0 | | Logical Clock: 35
System Time: 2025-03-05 04:13:33 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 36
System Time: 2025-03-05 04:13:34 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 37
System Time: 2025-03-05 04:13:35 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 38
System Time: 2025-03-05 04:13:36 | | RECEIVE  | | Receive machine 1 | | Queue Size: 0 | | Logical Clock: 40
System Time: 2025-03-05 04:13:37 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 40
System Time: 2025-03-05 04:13:38 | | RECEIVE  | | Receive machine 1 | | Queue Size: 0 | | Logical Clock: 42
System Time: 2025-03-05 04:13:39 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 42
System Time: 2025-03-05 04:13:40 | | RECEIVE  | | Receive machine 1 | | Queue Size: 0 | | Logical Clock: 44
System Time: 2025-03-05 04:13:41 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 44
System Time: 2025-03-05 04:13:42 | | RECEIVE  | | Receive machine 0 | | Queue Size: 1 | | Logical Clock: 46
System Time: 2025-03-05 04:13:43 | | RECEIVE  | | Receive machine 1 | | Queue Size: 1 | | Logical Clock: 47
System Time: 2025-03-05 04:13:44 | | RECEIVE  | | Receive machine 0 | | Queue Size: 0 | | Logical Clock: 48
System Time: 2025-03-05 04:13:45 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 48
System Time: 2025-03-05 04:13:46 | | RECEIVE  | | Receive machine 0 | | Queue Size: 0 | | Logical Clock: 50
System Time: 2025-03-05 04:13:47 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 50
System Time: 2025-03-05 04:13:48 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 51
System Time: 2025-03-05 04:13:49 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 52
System Time: 2025-03-05 04:13:50 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 53
System Time: 2025-03-05 04:13:51 | | RECEIVE  | | Receive machine 0 | | Queue Size: 0 | | Logical Clock: 55
System Time: 2025-03-05 04:13:52 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 55
System Time: 2025-03-05 04:13:53 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 56
System Time: 2025-03-05 04:13:54 | | RECEIVE  | | Receive machine 0 | | Queue Size: 0 | | Logical Clock: 58
System Time: 2025-03-05 04:13:55 | |   SEND   | | Sent to machine 1 | | Queue Size: 0 | | Logical Clock: 58
System Time: 2025-03-05 04:13:56 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 59
