System Time: 2025-03-05 15:38:38 | | INITIAL | | Machine 2 initialized with clock speed 4 | | Queue Size: 0 | | Logical Clock: 0
System Time: 2025-03-05 15:38:49 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 47
System Time: 2025-03-05 15:38:49 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 48
System Time: 2025-03-05 15:38:49 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 49
System Time: 2025-03-05 15:38:50 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 50
System Time: 2025-03-05 15:38:50 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 51
System Time: 2025-03-05 15:38:50 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 52
System Time: 2025-03-05 15:38:50 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 53
System Time: 2025-03-05 15:38:51 | | RECEIVE  | | Receive machine 1 | | Queue Size: 0 | | Logical Clock: 55
System Time: 2025-03-05 15:38:51 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 55
System Time: 2025-03-05 15:38:51 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 56
System Time: 2025-03-05 15:38:51 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 57
System Time: 2025-03-05 15:38:51 | |   SEND   | | Sent to machine 1 | | Queue Size: 0 | | Logical Clock: 57
System Time: 2025-03-05 15:38:52 | | RECEIVE  | | Receive machine 1 | | Queue Size: 0 | | Logical Clock: 59
System Time: 2025-03-05 15:38:52 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 59
System Time: 2025-03-05 15:38:52 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 60
System Time: 2025-03-05 15:38:52 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 61
System Time: 2025-03-05 15:38:53 | | RECEIVE  | | Receive machine 1 | | Queue Size: 0 | | Logical Clock: 63
System Time: 2025-03-05 15:38:53 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 63
System Time: 2025-03-05 15:38:53 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 64
System Time: 2025-03-05 15:38:53 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 65
System Time: 2025-03-05 15:38:54 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 66
System Time: 2025-03-05 15:38:54 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 67
System Time: 2025-03-05 15:38:54 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 68
System Time: 2025-03-05 15:38:54 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 69
System Time: 2025-03-05 15:38:55 | | RECEIVE  | | Receive machine 1 | | Queue Size: 1 | | Logical Clock: 71
System Time: 2025-03-05 15:38:55 | | RECEIVE  | | Receive machine 1 | | Queue Size: 0 | | Logical Clock: 72
System Time: 2025-03-05 15:38:55 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 72
System Time: 2025-03-05 15:38:55 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 73
System Time: 2025-03-05 15:38:56 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 74
System Time: 2025-03-05 15:38:56 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 75
System Time: 2025-03-05 15:38:56 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 76
System Time: 2025-03-05 15:38:56 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 77
System Time: 2025-03-05 15:38:57 | | RECEIVE  | | Receive machine 0 | | Queue Size: 0 | | Logical Clock: 79
System Time: 2025-03-05 15:38:57 | | RECEIVE  | | Receive machine 1 | | Queue Size: 0 | | Logical Clock: 80
System Time: 2025-03-05 15:38:57 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 80
System Time: 2025-03-05 15:38:57 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 81
System Time: 2025-03-05 15:38:58 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 82
System Time: 2025-03-05 15:38:58 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 83
System Time: 2025-03-05 15:38:58 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 84
System Time: 2025-03-05 15:38:58 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 85
System Time: 2025-03-05 15:38:59 | | RECEIVE  | | Receive machine 1 | | Queue Size: 0 | | Logical Clock: 87
System Time: 2025-03-05 15:38:59 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 87
System Time: 2025-03-05 15:38:59 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 88
System Time: 2025-03-05 15:38:59 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 89
System Time: 2025-03-05 15:39:00 | | RECEIVE  | | Receive machine 1 | | Queue Size: 0 | | Logical Clock: 91
System Time: 2025-03-05 15:39:00 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 91
System Time: 2025-03-05 15:39:00 | |   SEND   | | Sent to machine 1 | | Queue Size: 0 | | Logical Clock: 91
System Time: 2025-03-05 15:39:00 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 92
System Time: 2025-03-05 15:39:00 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 93
System Time: 2025-03-05 15:39:01 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 94
System Time: 2025-03-05 15:39:01 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 95
System Time: 2025-03-05 15:39:01 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 96
System Time: 2025-03-05 15:39:01 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 97
System Time: 2025-03-05 15:39:02 | | RECEIVE  | | Receive machine 1 | | Queue Size: 3 | | Logical Clock: 99
System Time: 2025-03-05 15:39:02 | | RECEIVE  | | Receive machine 1 | | Queue Size: 2 | | Logical Clock: 100
System Time: 2025-03-05 15:39:02 | | RECEIVE  | | Receive machine 1 | | Queue Size: 1 | | Logical Clock: 101
System Time: 2025-03-05 15:39:02 | | RECEIVE  | | Receive machine 1 | | Queue Size: 0 | | Logical Clock: 102
System Time: 2025-03-05 15:39:03 | | RECEIVE  | | Receive machine 1 | | Queue Size: 1 | | Logical Clock: 103
System Time: 2025-03-05 15:39:03 | | RECEIVE  | | Receive machine 1 | | Queue Size: 0 | | Logical Clock: 104
System Time: 2025-03-05 15:39:03 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 104
System Time: 2025-03-05 15:39:03 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 105
System Time: 2025-03-05 15:39:04 | | RECEIVE  | | Receive machine 1 | | Queue Size: 2 | | Logical Clock: 107
System Time: 2025-03-05 15:39:04 | | RECEIVE  | | Receive machine 1 | | Queue Size: 1 | | Logical Clock: 108
System Time: 2025-03-05 15:39:04 | | RECEIVE  | | Receive machine 1 | | Queue Size: 0 | | Logical Clock: 109
System Time: 2025-03-05 15:39:04 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 109
System Time: 2025-03-05 15:39:05 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 110
System Time: 2025-03-05 15:39:05 | |   SEND   | | Sent to machine 1 | | Queue Size: 2 | | Logical Clock: 110
System Time: 2025-03-05 15:39:05 | | RECEIVE  | | Receive machine 1 | | Queue Size: 1 | | Logical Clock: 112
System Time: 2025-03-05 15:39:05 | | RECEIVE  | | Receive machine 1 | | Queue Size: 0 | | Logical Clock: 113
System Time: 2025-03-05 15:39:05 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 113
System Time: 2025-03-05 15:39:06 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 114
System Time: 2025-03-05 15:39:06 | |   SEND   | | Sent to machine 1 | | Queue Size: 0 | | Logical Clock: 115
System Time: 2025-03-05 15:39:06 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 116
System Time: 2025-03-05 15:39:06 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 117
System Time: 2025-03-05 15:39:07 | | RECEIVE  | | Receive machine 1 | | Queue Size: 0 | | Logical Clock: 119
System Time: 2025-03-05 15:39:07 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 119
System Time: 2025-03-05 15:39:07 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 120
System Time: 2025-03-05 15:39:07 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 121
System Time: 2025-03-05 15:39:08 | | RECEIVE  | | Receive machine 1 | | Queue Size: 0 | | Logical Clock: 124
System Time: 2025-03-05 15:39:08 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 124
System Time: 2025-03-05 15:39:08 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 125
System Time: 2025-03-05 15:39:08 | |   SEND   | | Sent to machine 1 | | Queue Size: 0 | | Logical Clock: 125
System Time: 2025-03-05 15:39:08 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 126
System Time: 2025-03-05 15:39:09 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 127
System Time: 2025-03-05 15:39:09 | |   SEND   | | Sent to machine 1 | | Queue Size: 0 | | Logical Clock: 128
System Time: 2025-03-05 15:39:09 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 129
System Time: 2025-03-05 15:39:09 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 130
System Time: 2025-03-05 15:39:10 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 131
System Time: 2025-03-05 15:39:10 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 132
System Time: 2025-03-05 15:39:10 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 133
System Time: 2025-03-05 15:39:10 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 134
System Time: 2025-03-05 15:39:11 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 135
System Time: 2025-03-05 15:39:11 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 136
System Time: 2025-03-05 15:39:11 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 137
System Time: 2025-03-05 15:39:11 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 138
System Time: 2025-03-05 15:39:12 | | RECEIVE  | | Receive machine 1 | | Queue Size: 0 | | Logical Clock: 140
System Time: 2025-03-05 15:39:12 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 140
System Time: 2025-03-05 15:39:12 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 141
System Time: 2025-03-05 15:39:12 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 142
System Time: 2025-03-05 15:39:13 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 143
System Time: 2025-03-05 15:39:13 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 144
System Time: 2025-03-05 15:39:13 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 145
System Time: 2025-03-05 15:39:13 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 146
System Time: 2025-03-05 15:39:13 | |   SEND   | | Sent to machine 1 | | Queue Size: 0 | | Logical Clock: 146
System Time: 2025-03-05 15:39:14 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 147
System Time: 2025-03-05 15:39:14 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 148
System Time: 2025-03-05 15:39:14 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 149
System Time: 2025-03-05 15:39:14 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 150
System Time: 2025-03-05 15:39:15 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 151
System Time: 2025-03-05 15:39:15 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 152
System Time: 2025-03-05 15:39:15 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 153
System Time: 2025-03-05 15:39:15 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 154
System Time: 2025-03-05 15:39:16 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 155
System Time: 2025-03-05 15:39:16 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 156
System Time: 2025-03-05 15:39:16 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 157
System Time: 2025-03-05 15:39:16 | |   SEND   | | Sent to machine 1 | | Queue Size: 0 | | Logical Clock: 157
System Time: 2025-03-05 15:39:16 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 158
System Time: 2025-03-05 15:39:17 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 159
System Time: 2025-03-05 15:39:17 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 160
System Time: 2025-03-05 15:39:17 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 161
System Time: 2025-03-05 15:39:17 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 162
System Time: 2025-03-05 15:39:18 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 163
System Time: 2025-03-05 15:39:18 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 164
System Time: 2025-03-05 15:39:18 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 165
System Time: 2025-03-05 15:39:18 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 166
System Time: 2025-03-05 15:39:19 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 167
System Time: 2025-03-05 15:39:19 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 168
System Time: 2025-03-05 15:39:19 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 169
System Time: 2025-03-05 15:39:19 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 170
System Time: 2025-03-05 15:39:20 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 171
System Time: 2025-03-05 15:39:20 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 172
System Time: 2025-03-05 15:39:20 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 173
System Time: 2025-03-05 15:39:20 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 174
System Time: 2025-03-05 15:39:21 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 175
System Time: 2025-03-05 15:39:21 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 176
System Time: 2025-03-05 15:39:21 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 177
System Time: 2025-03-05 15:39:21 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 178
System Time: 2025-03-05 15:39:22 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 179
System Time: 2025-03-05 15:39:22 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 180
System Time: 2025-03-05 15:39:22 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 181
System Time: 2025-03-05 15:39:22 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 182
System Time: 2025-03-05 15:39:22 | |   SEND   | | Sent to machine 1 | | Queue Size: 0 | | Logical Clock: 182
System Time: 2025-03-05 15:39:23 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 183
System Time: 2025-03-05 15:39:23 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 184
System Time: 2025-03-05 15:39:23 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 185
System Time: 2025-03-05 15:39:23 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 186
