System Time: 2025-03-04 19:58:35 | | INITIAL | | Machine 1 initialized with clock speed 5 | | Queue Size: 0 | | Logical Clock: 0
System Time: 2025-03-04 19:58:35 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 0
System Time: 2025-03-04 19:58:35 | |   SEND   | | Sent to machine 2 | | Queue Size: 0 | | Logical Clock: 1
System Time: 2025-03-04 19:58:35 | |   SEND   | | Sent to machine 2 | | Queue Size: 0 | | Logical Clock: 2
System Time: 2025-03-04 19:58:35 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 3
System Time: 2025-03-04 19:58:35 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 4
System Time: 2025-03-04 19:58:36 | | RECEIVE  | | Receive machine 0 | | Queue Size: 0 | | Logical Clock: 6
System Time: 2025-03-04 19:58:36 | |   SEND   | | Sent to machine 2 | | Queue Size: 0 | | Logical Clock: 6
System Time: 2025-03-04 19:58:36 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 6
System Time: 2025-03-04 19:58:36 | |   SEND   | | Sent to machine 2 | | Queue Size: 0 | | Logical Clock: 7
System Time: 2025-03-04 19:58:36 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 8
System Time: 2025-03-04 19:58:36 | |   SEND   | | Sent to machine 2 | | Queue Size: 0 | | Logical Clock: 9
System Time: 2025-03-04 19:58:37 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 10
System Time: 2025-03-04 19:58:37 | |   SEND   | | Sent to machine 2 | | Queue Size: 0 | | Logical Clock: 11
System Time: 2025-03-04 19:58:37 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 12
System Time: 2025-03-04 19:58:37 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 13
System Time: 2025-03-04 19:58:37 | |   SEND   | | Sent to machine 2 | | Queue Size: 0 | | Logical Clock: 14
System Time: 2025-03-04 19:58:38 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 15
System Time: 2025-03-04 19:58:38 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 16
System Time: 2025-03-04 19:58:38 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 17
System Time: 2025-03-04 19:58:38 | |   SEND   | | Sent to machine 2 | | Queue Size: 0 | | Logical Clock: 18
System Time: 2025-03-04 19:58:38 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 19
System Time: 2025-03-04 19:58:39 | | RECEIVE  | | Receive machine 0 | | Queue Size: 1 | | Logical Clock: 21
System Time: 2025-03-04 19:58:39 | | RECEIVE  | | Receive machine 0 | | Queue Size: 0 | | Logical Clock: 22
System Time: 2025-03-04 19:58:39 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 22
System Time: 2025-03-04 19:58:39 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 23
System Time: 2025-03-04 19:58:39 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 24
