System Time: 2025-03-05 04:33:54 | | INITIAL | | Machine 0 initialized with clock speed 4 | | Queue Size: 0 | | Logical Clock: 0
System Time: 2025-03-05 04:33:54 | |   SEND   | | Sent to machine 1 | | Queue Size: 0 | | Logical Clock: 0
System Time: 2025-03-05 04:33:54 | |   SEND   | | Sent to machine 2 | | Queue Size: 0 | | Logical Clock: 0
System Time: 2025-03-05 04:33:54 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 1
System Time: 2025-03-05 04:33:54 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 2
System Time: 2025-03-05 04:33:54 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 3
System Time: 2025-03-05 04:33:55 | | RECEIVE  | | Receive machine 2 | | Queue Size: 0 | | Logical Clock: 5
System Time: 2025-03-05 04:33:55 | |   SEND   | | Sent to machine 1 | | Queue Size: 0 | | Logical Clock: 5
System Time: 2025-03-05 04:33:55 | |   SEND   | | Sent to machine 2 | | Queue Size: 0 | | Logical Clock: 5
System Time: 2025-03-05 04:33:55 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 6
System Time: 2025-03-05 04:33:55 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 7
System Time: 2025-03-05 04:33:56 | | RECEIVE  | | Receive machine 2 | | Queue Size: 1 | | Logical Clock: 9
System Time: 2025-03-05 04:33:56 | | RECEIVE  | | Receive machine 2 | | Queue Size: 0 | | Logical Clock: 11
System Time: 2025-03-05 04:33:56 | | RECEIVE  | | Receive machine 2 | | Queue Size: 0 | | Logical Clock: 14
System Time: 2025-03-05 04:33:56 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 14
System Time: 2025-03-05 04:33:57 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 15
System Time: 2025-03-05 04:33:57 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 16
System Time: 2025-03-05 04:33:57 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 17
System Time: 2025-03-05 04:33:57 | |   SEND   | | Sent to machine 1 | | Queue Size: 0 | | Logical Clock: 18
System Time: 2025-03-05 04:33:58 | | RECEIVE  | | Receive machine 2 | | Queue Size: 1 | | Logical Clock: 20
System Time: 2025-03-05 04:33:58 | | RECEIVE  | | Receive machine 2 | | Queue Size: 0 | | Logical Clock: 30
System Time: 2025-03-05 04:33:58 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 30
System Time: 2025-03-05 04:33:58 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 31
System Time: 2025-03-05 04:33:59 | |   SEND   | | Sent to machine 2 | | Queue Size: 0 | | Logical Clock: 32
System Time: 2025-03-05 04:33:59 | |   SEND   | | Sent to machine 1 | | Queue Size: 0 | | Logical Clock: 33
System Time: 2025-03-05 04:33:59 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 34
System Time: 2025-03-05 04:33:59 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 35
System Time: 2025-03-05 04:34:00 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 36
System Time: 2025-03-05 04:34:00 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 37
System Time: 2025-03-05 04:34:00 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 38
System Time: 2025-03-05 04:34:00 | |   SEND   | | Sent to machine 1 | | Queue Size: 0 | | Logical Clock: 39
System Time: 2025-03-05 04:34:00 | |   SEND   | | Sent to machine 2 | | Queue Size: 0 | | Logical Clock: 39
System Time: 2025-03-05 04:34:01 | | RECEIVE  | | Receive machine 2 | | Queue Size: 0 | | Logical Clock: 41
System Time: 2025-03-05 04:34:01 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 41
System Time: 2025-03-05 04:34:01 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 42
System Time: 2025-03-05 04:34:01 | |   SEND   | | Sent to machine 1 | | Queue Size: 0 | | Logical Clock: 43
System Time: 2025-03-05 04:34:02 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 44
System Time: 2025-03-05 04:34:02 | |   SEND   | | Sent to machine 1 | | Queue Size: 0 | | Logical Clock: 45
System Time: 2025-03-05 04:34:02 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 46
System Time: 2025-03-05 04:34:02 | |   SEND   | | Sent to machine 1 | | Queue Size: 0 | | Logical Clock: 47
System Time: 2025-03-05 04:34:03 | | RECEIVE  | | Receive machine 2 | | Queue Size: 2 | | Logical Clock: 52
System Time: 2025-03-05 04:34:03 | | RECEIVE  | | Receive machine 2 | | Queue Size: 1 | | Logical Clock: 54
System Time: 2025-03-05 04:34:03 | | RECEIVE  | | Receive machine 2 | | Queue Size: 0 | | Logical Clock: 55
System Time: 2025-03-05 04:34:03 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 55
System Time: 2025-03-05 04:34:04 | | RECEIVE  | | Receive machine 2 | | Queue Size: 1 | | Logical Clock: 58
System Time: 2025-03-05 04:34:04 | | RECEIVE  | | Receive machine 2 | | Queue Size: 0 | | Logical Clock: 59
System Time: 2025-03-05 04:34:04 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 59
System Time: 2025-03-05 04:34:04 | |   SEND   | | Sent to machine 2 | | Queue Size: 1 | | Logical Clock: 60
System Time: 2025-03-05 04:34:05 | | RECEIVE  | | Receive machine 2 | | Queue Size: 0 | | Logical Clock: 67
System Time: 2025-03-05 04:34:05 | |   SEND   | | Sent to machine 1 | | Queue Size: 0 | | Logical Clock: 67
System Time: 2025-03-05 04:34:05 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 68
System Time: 2025-03-05 04:34:05 | | RECEIVE  | | Receive machine 2 | | Queue Size: 0 | | Logical Clock: 72
System Time: 2025-03-05 04:34:06 | |   SEND   | | Sent to machine 1 | | Queue Size: 0 | | Logical Clock: 72
System Time: 2025-03-05 04:34:06 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 73
System Time: 2025-03-05 04:34:06 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 74
System Time: 2025-03-05 04:34:06 | |   SEND   | | Sent to machine 1 | | Queue Size: 0 | | Logical Clock: 75
System Time: 2025-03-05 04:34:06 | |   SEND   | | Sent to machine 2 | | Queue Size: 0 | | Logical Clock: 75
System Time: 2025-03-05 04:34:07 | | RECEIVE  | | Receive machine 2 | | Queue Size: 2 | | Logical Clock: 77
System Time: 2025-03-05 04:34:07 | | RECEIVE  | | Receive machine 2 | | Queue Size: 1 | | Logical Clock: 78
System Time: 2025-03-05 04:34:07 | | RECEIVE  | | Receive machine 2 | | Queue Size: 1 | | Logical Clock: 79
System Time: 2025-03-05 04:34:07 | | RECEIVE  | | Receive machine 2 | | Queue Size: 0 | | Logical Clock: 84
System Time: 2025-03-05 04:34:08 | | RECEIVE  | | Receive machine 2 | | Queue Size: 0 | | Logical Clock: 85
System Time: 2025-03-05 04:34:08 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 85
System Time: 2025-03-05 04:34:08 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 86
System Time: 2025-03-05 04:34:08 | |   SEND   | | Sent to machine 2 | | Queue Size: 0 | | Logical Clock: 87
System Time: 2025-03-05 04:34:09 | | RECEIVE  | | Receive machine 2 | | Queue Size: 0 | | Logical Clock: 89
System Time: 2025-03-05 04:34:09 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 89
System Time: 2025-03-05 04:34:09 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 90
System Time: 2025-03-05 04:34:09 | |   SEND   | | Sent to machine 1 | | Queue Size: 0 | | Logical Clock: 91
System Time: 2025-03-05 04:34:10 | | RECEIVE  | | Receive machine 2 | | Queue Size: 0 | | Logical Clock: 97
System Time: 2025-03-05 04:34:10 | |   SEND   | | Sent to machine 1 | | Queue Size: 0 | | Logical Clock: 97
System Time: 2025-03-05 04:34:10 | |   SEND   | | Sent to machine 1 | | Queue Size: 0 | | Logical Clock: 98
System Time: 2025-03-05 04:34:10 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 99
System Time: 2025-03-05 04:34:11 | | RECEIVE  | | Receive machine 2 | | Queue Size: 3 | | Logical Clock: 101
System Time: 2025-03-05 04:34:11 | | RECEIVE  | | Receive machine 2 | | Queue Size: 2 | | Logical Clock: 102
System Time: 2025-03-05 04:34:11 | | RECEIVE  | | Receive machine 2 | | Queue Size: 1 | | Logical Clock: 105
System Time: 2025-03-05 04:34:11 | | RECEIVE  | | Receive machine 2 | | Queue Size: 0 | | Logical Clock: 106
System Time: 2025-03-05 04:34:12 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 106
System Time: 2025-03-05 04:34:12 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 107
System Time: 2025-03-05 04:34:12 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 108
System Time: 2025-03-05 04:34:12 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 109
System Time: 2025-03-05 04:34:13 | | RECEIVE  | | Receive machine 2 | | Queue Size: 1 | | Logical Clock: 114
System Time: 2025-03-05 04:34:13 | | RECEIVE  | | Receive machine 2 | | Queue Size: 0 | | Logical Clock: 115
System Time: 2025-03-05 04:34:13 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 115
System Time: 2025-03-05 04:34:13 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 116
System Time: 2025-03-05 04:34:14 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 117
System Time: 2025-03-05 04:34:14 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 118
System Time: 2025-03-05 04:34:14 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 119
System Time: 2025-03-05 04:34:14 | |   SEND   | | Sent to machine 2 | | Queue Size: 0 | | Logical Clock: 120
System Time: 2025-03-05 04:34:15 | | RECEIVE  | | Receive machine 2 | | Queue Size: 0 | | Logical Clock: 128
System Time: 2025-03-05 04:34:15 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 128
System Time: 2025-03-05 04:34:15 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 129
System Time: 2025-03-05 04:34:15 | |   SEND   | | Sent to machine 1 | | Queue Size: 0 | | Logical Clock: 130
System Time: 2025-03-05 04:34:16 | | RECEIVE  | | Receive machine 2 | | Queue Size: 1 | | Logical Clock: 132
System Time: 2025-03-05 04:34:16 | | RECEIVE  | | Receive machine 2 | | Queue Size: 0 | | Logical Clock: 133
System Time: 2025-03-05 04:34:16 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 133
System Time: 2025-03-05 04:34:16 | | RECEIVE  | | Receive machine 2 | | Queue Size: 0 | | Logical Clock: 136
System Time: 2025-03-05 04:34:17 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 136
System Time: 2025-03-05 04:34:17 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 137
System Time: 2025-03-05 04:34:17 | |   SEND   | | Sent to machine 1 | | Queue Size: 0 | | Logical Clock: 138
System Time: 2025-03-05 04:34:17 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 139
System Time: 2025-03-05 04:34:18 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 140
