System Time: 2025-03-05 04:33:54 | | INITIAL | | Machine 2 initialized with clock speed 6 | | Queue Size: 0 | | Logical Clock: 0
System Time: 2025-03-05 04:33:54 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 0
System Time: 2025-03-05 04:33:54 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 1
System Time: 2025-03-05 04:33:54 | | RECEIVE  | | Receive machine 0 | | Queue Size: 0 | | Logical Clock: 3
System Time: 2025-03-05 04:33:54 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 3
System Time: 2025-03-05 04:33:54 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 4
System Time: 2025-03-05 04:33:54 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 5
System Time: 2025-03-05 04:33:55 | | RECEIVE  | | Receive machine 0 | | Queue Size: 0 | | Logical Clock: 7
System Time: 2025-03-05 04:33:55 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 7
System Time: 2025-03-05 04:33:55 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 8
System Time: 2025-03-05 04:33:55 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 9
System Time: 2025-03-05 04:33:55 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 10
System Time: 2025-03-05 04:33:55 | |   SEND   | | Sent to machine 1 | | Queue Size: 0 | | Logical Clock: 10
System Time: 2025-03-05 04:33:55 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 11
System Time: 2025-03-05 04:33:56 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 12
System Time: 2025-03-05 04:33:56 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 13
System Time: 2025-03-05 04:33:56 | |   SEND   | | Sent to machine 1 | | Queue Size: 0 | | Logical Clock: 13
System Time: 2025-03-05 04:33:56 | | RECEIVE  | | Receive machine 1 | | Queue Size: 0 | | Logical Clock: 15
System Time: 2025-03-05 04:33:56 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 15
System Time: 2025-03-05 04:33:56 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 16
System Time: 2025-03-05 04:33:56 | |   SEND   | | Sent to machine 1 | | Queue Size: 0 | | Logical Clock: 17
System Time: 2025-03-05 04:33:57 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 18
System Time: 2025-03-05 04:33:57 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 19
System Time: 2025-03-05 04:33:57 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 20
System Time: 2025-03-05 04:33:57 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 21
System Time: 2025-03-05 04:33:57 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 22
System Time: 2025-03-05 04:33:57 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 23
System Time: 2025-03-05 04:33:58 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 24
System Time: 2025-03-05 04:33:58 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 25
System Time: 2025-03-05 04:33:58 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 26
System Time: 2025-03-05 04:33:58 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 27
System Time: 2025-03-05 04:33:58 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 28
System Time: 2025-03-05 04:33:58 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 29
System Time: 2025-03-05 04:33:59 | | RECEIVE  | | Receive machine 1 | | Queue Size: 1 | | Logical Clock: 31
System Time: 2025-03-05 04:33:59 | | RECEIVE  | | Receive machine 0 | | Queue Size: 0 | | Logical Clock: 33
System Time: 2025-03-05 04:33:59 | | RECEIVE  | | Receive machine 1 | | Queue Size: 0 | | Logical Clock: 34
System Time: 2025-03-05 04:33:59 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 34
System Time: 2025-03-05 04:33:59 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 35
System Time: 2025-03-05 04:33:59 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 36
System Time: 2025-03-05 04:34:00 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 37
System Time: 2025-03-05 04:34:00 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 38
System Time: 2025-03-05 04:34:00 | |   SEND   | | Sent to machine 1 | | Queue Size: 1 | | Logical Clock: 38
System Time: 2025-03-05 04:34:00 | | RECEIVE  | | Receive machine 0 | | Queue Size: 0 | | Logical Clock: 40
System Time: 2025-03-05 04:34:00 | |   SEND   | | Sent to machine 1 | | Queue Size: 0 | | Logical Clock: 40
System Time: 2025-03-05 04:34:00 | | RECEIVE  | | Receive machine 1 | | Queue Size: 0 | | Logical Clock: 42
System Time: 2025-03-05 04:34:00 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 42
System Time: 2025-03-05 04:34:01 | |   SEND   | | Sent to machine 1 | | Queue Size: 0 | | Logical Clock: 43
System Time: 2025-03-05 04:34:01 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 44
System Time: 2025-03-05 04:34:01 | |   SEND   | | Sent to machine 1 | | Queue Size: 0 | | Logical Clock: 45
System Time: 2025-03-05 04:34:01 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 46
System Time: 2025-03-05 04:34:01 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 47
System Time: 2025-03-05 04:34:01 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 48
System Time: 2025-03-05 04:34:02 | | RECEIVE  | | Receive machine 1 | | Queue Size: 1 | | Logical Clock: 50
System Time: 2025-03-05 04:34:02 | | RECEIVE  | | Receive machine 1 | | Queue Size: 0 | | Logical Clock: 51
System Time: 2025-03-05 04:34:02 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 51
System Time: 2025-03-05 04:34:02 | |   SEND   | | Sent to machine 1 | | Queue Size: 0 | | Logical Clock: 51
System Time: 2025-03-05 04:34:02 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 52
System Time: 2025-03-05 04:34:02 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 53
System Time: 2025-03-05 04:34:02 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 54
System Time: 2025-03-05 04:34:02 | |   SEND   | | Sent to machine 1 | | Queue Size: 0 | | Logical Clock: 54
System Time: 2025-03-05 04:34:03 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 55
System Time: 2025-03-05 04:34:03 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 56
System Time: 2025-03-05 04:34:03 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 57
System Time: 2025-03-05 04:34:03 | |   SEND   | | Sent to machine 1 | | Queue Size: 0 | | Logical Clock: 57
System Time: 2025-03-05 04:34:03 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 58
System Time: 2025-03-05 04:34:03 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 59
System Time: 2025-03-05 04:34:03 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 60
System Time: 2025-03-05 04:34:04 | |   SEND   | | Sent to machine 1 | | Queue Size: 0 | | Logical Clock: 61
System Time: 2025-03-05 04:34:04 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 62
System Time: 2025-03-05 04:34:04 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 63
System Time: 2025-03-05 04:34:04 | | INTERNAL | |     No Details    | | Queue Size: 0 | | Logical Clock: 64
System Time: 2025-03-05 04:34:04 | | RECEIVE  | | Receive machine 1 | | Queue Size: 0 | | Logical Clock: 66
System Time: 2025-03-05 04:34:04 | |   SEND   | | Sent to machine 0 | | Queue Size: 0 | | Logical Clock: 66
